"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"MDC","M.D.C. Holdings, Inc.","30.43","$1.71B","n/a","Capital Goods","Homebuilding","https://www.nasdaq.com/symbol/mdc",
"MHO","M/I Homes, Inc.","25.85","$738.56M","1993","Capital Goods","Homebuilding","https://www.nasdaq.com/symbol/mho",
"MCBC","Macatawa Bank Corporation","12.43","$422.84M","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/mcbc",
"MAC","Macerich Company (The)","59.88","$8.44B","1994","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/mac",
"CLI","Mack-Cali Realty Corporation","19.1","$1.72B","n/a","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/cli",
"MFNC","Mackinac Financial Corporation","16.41","$175.8M","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/mfnc",
"MTSI","MACOM Technology Solutions Holdings, Inc.","20.64","$1.34B","2012","Technology","Semiconductors","https://www.nasdaq.com/symbol/mtsi",
"MFD","Macquarie First Trust Global","11.1211","$94.94M","2004","n/a","n/a","https://www.nasdaq.com/symbol/mfd",
"MGU","Macquarie Global Infrastructure Total Return Fund Inc.","22.75","$283.65M","2005","n/a","n/a","https://www.nasdaq.com/symbol/mgu",
"MIC","Macquarie Infrastructure Corporation ","46.56","$3.96B","2004","Energy","Oil Refining/Marketing","https://www.nasdaq.com/symbol/mic",
"BMA","Macro Bank Inc.","63.31","$4.24B","n/a","Finance","Commercial Banks","https://www.nasdaq.com/symbol/bma",
"MGNX","MacroGenics, Inc.","19.28","$813.66M","2013","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/mgnx",
"M","Macy&#39;s Inc","38.73","$11.87B","n/a","Consumer Services","Department/Specialty Retail Stores","https://www.nasdaq.com/symbol/m",
"MCN","Madison Covered Call & Equity Strategy Fund","7.65","$147.4M","2004","n/a","n/a","https://www.nasdaq.com/symbol/mcn",
"MSP","Madison Strategic Sector Premium Fund","11.81","$68.48M","2005","n/a","n/a","https://www.nasdaq.com/symbol/msp",
"MDGL","Madrigal Pharmaceuticals, Inc.","251.34","$3.58B","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/mdgl",
"MAG","MAG Silver Corporation","9.27","$792.95M","n/a","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/mag",
"MAGS","Magal Security Systems Ltd.","5.14","$118.4M","1993","Consumer Durables","Telecommunications Equipment","https://www.nasdaq.com/symbol/mags",
"MGLN","Magellan Health, Inc.","75.9","$1.87B","n/a","Health Care","Hospital/Nursing Management","https://www.nasdaq.com/symbol/mgln",
"MMP","Magellan Midstream Partners L.P.","71.05","$16.21B","n/a","Energy","Natural Gas Distribution","https://www.nasdaq.com/symbol/mmp",
"MGTA","Magenta Therapeutics, Inc.","13.435","$461.76M","2018","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/mgta",
"MGIC","Magic Software Enterprises Ltd.","8.55","$416.88M","1991","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/mgic",
"CALL","magicJack VocalTec Ltd","8.35","$135.32M","n/a","Public Utilities","Telecommunications Equipment","https://www.nasdaq.com/symbol/call",
"MGA","Magna International, Inc.","58.74","$20.36B","n/a","Capital Goods","Auto Parts:O.E.M.","https://www.nasdaq.com/symbol/mga",
